idx,question,gt,gen,n_tokens,n_valid,mean_delta,mean_sigma,A_marginal,A_joint,A_cov,pearson_rho,signature,label,label_source,judge_reason
16298,What breed of dog is Marmaduke in the newspaper cartoon strip of that name?,GREAT DANE,"In the original strip, Marmaduke was a mixed breed dog. The original creator of the strip, Brad Anderson, said the dog was a cross between a Saint Bernard and a Great Dane. He was drawn to look like a Saint Bernard and the name was a play on the name of the cartoon character Marmaduke D. Slip in the 1960s television series ""Dennis the Menace"".",89,68,0.491107,3.803134,1.867745,1.942992,0.075247,0.231219,MIXED,correct,alias_match,
6112,What was the previous occupation of comedian Jim Bowen?,Teacher,He was a teacher.,5,5,0.553152,4.047291,2.238766,2.53275,0.293984,0.887812,ALIGNED,correct,alias_match,
10610,Who does the commentary in the UK tv programme ‘Come Dine With Me’?,Dave Lamb,"I think it’s Dave Lamb. It’s always the same man, and he gets a little more sarcastic with each successive episode.",31,24,0.522763,4.262866,2.228468,2.29194,0.063471,0.21032,MIXED,correct,alias_match,
8977,What type of scenes was Dame Laura Knight noted for painting,Circus,"Laura Knight was a British painter who was noted for her paintings of women in ordinary situations, as well as for her depictions of life in the army camps during war, especially during World War I.",41,33,0.410778,3.814183,1.566783,1.605654,0.038871,0.145495,MIXED,hallucination,judge,"The model answer describes Laura Knight's paintings of women and army camps, but the ground truth indicates she was specifically noted for painting circus scenes, which is completely absent from the model's response."
5810,As what is the medical condition pertussis more commonly known?,WHOOPING COUGH,Whooping cough.,5,2,0.610577,2.745923,1.676598,1.812849,0.136251,1.0,ALIGNED,correct,alias_match,
17026,"Kit Kat is manufactured throughout the world by Nestle except in the USA, which company makes it under license there?",HERSHEY,Hershey’s,6,3,0.671492,2.702726,1.814859,1.783094,-0.031764,-0.45953,MIXED,correct,alias_match,
4175,"""In the TV series """"Dastardly and Muttley in Their Flying Machines"""", what is the name of Dastardly's squadron?""",Vulture,"""The Flying Gophers""",7,6,0.703061,4.709911,3.311355,3.415199,0.103845,0.385958,ALIGNED,hallucination,judge,"The Flying Gophers is incorrect; Dastardly's squadron in the series is called the Vulture Squadron or Scavenger of Birds, not The Flying Gophers."
10989,Which famous UK television duo provide the voices for the main characters in the children’s program ‘Engie Benjy’?,Ant and Dec,Sir David Jason and Sir John Hurt,8,6,0.651045,4.204118,2.737068,2.568759,-0.168309,-0.547633,ANTI,hallucination,judge,"The correct answer is Ant and Dec (PJ & Duncan), not David Jason and John Hurt, who had no involvement with Engie Benjy."
10003,Who was the first person after Scott to reach the South Pole overland?,Edmond Hillary,Roald Amundsen.,6,2,0.552862,3.980705,2.20078,2.397586,0.196805,1.0,ALIGNED,hallucination,judge,"Roald Amundsen reached the South Pole in 1911 before Scott, not after him; Edmund Hillary was the first to reach it overland after Scott's 1912 expedition."
9598,What gas is necessary for plants to perform photosynthesis?,Carbon Dioxide,"In order for plants to perform photosynthesis, they need carbon dioxide (CO2). This is the gas that the chloroplasts in plant cells use to produce glucose from water and carbon dioxide.",49,31,0.484164,2.755184,1.33396,1.38645,0.05249,0.324628,MIXED,correct,alias_match,
5952,In Milton's 'Paradise Lost' what is the name of the Capital of Hell?,Pandaemonium,Pandemonium.,5,3,0.516324,2.17342,1.12219,1.183791,0.061601,0.303652,MIXED,correct,alias_match,
3828,"What is a domesticated animal that resembles a small llama in superficial appearance that are kept in herds that graze on the level heights of the Andes of South America at an altitude of 3,500 m (11,483 ft) to 5,000 m (16,404 ft) above sea-level, that were bred specifically for the fibre in their fleece?",Alpaca,The alpaca.,5,3,0.519135,3.653267,1.896538,2.029167,0.132629,0.961897,ALIGNED,correct,alias_match,
2510,Who is the current Secretary-General of the United Nations ?,BAN KI MOON,António Guterres,6,2,0.646507,2.476154,1.60085,1.744496,0.143646,1.0,ALIGNED,hallucination,judge,"António Guterres is the current UN Secretary-General (since 2017), but the ground truth specifies Ban Ki-moon, who served from 2007-2016, making this answer factually incorrect for the stated question."
8046,Which Greek philosopher is popularly known as 'The Laughing Philosopher' because of his scoffing nature?,DEMOCRITUS,Diogenes of Sinope,6,2,0.663408,2.86594,1.901287,1.909211,0.007924,1.0,MIXED,error,judge_error,Extra data: line 1 column 215 (char 214)
5069,"""Who was the male half of """"Bennifer""""?""",Ben Affleck,"Jennifer Lopez and Ben Affleck were dubbed ""Bennifer"" after their relationship made headlines in the early 2000s.",35,13,0.5658,3.31121,1.873482,1.949601,0.076119,0.476816,MIXED,correct,alias_match,
17195,What is the name of the local pub in Heartbeat,The Aidensfield Arms,The Wentworth Arms,6,4,0.684063,4.014057,2.745867,2.799771,0.053905,0.164783,MIXED,hallucination,judge,"The model answered 'The Wentworth Arms' when the correct answer is 'The Aidensfield Arms,' which is a factually incorrect pub name from the TV series Heartbeat."
10213,In which film was the song White Christmas first sung?,Holiday Inn,"The film is “Holiday Inn” of 1942, in which the song is sung by Bing Crosby. The film is a musical comedy film starring Bing Crosby, Fred Astaire, and Marjorie Reynolds.",54,29,0.451041,3.060292,1.380317,1.31568,-0.064637,-0.292581,MIXED,correct,alias_match,
9988,In which state was Gene Vincent born?,Virginia,"Norfolk, Virginia",5,2,0.546296,1.529397,0.835504,0.882974,0.04747,1.0,MIXED,correct,alias_match,
3695,What is the name of the golf trophy for competition between teams of professional golfers from Europe and the USA that was first contested between Great Britain and the USA in 1927?,Ryder Cup,Ryder Cup.,5,2,0.489927,1.963761,0.9621,1.025615,0.063514,1.0,MIXED,correct,alias_match,
6942,Broxtowe District Council is in which English county?,Nottinghamshire,Broxtowe District Council is in the county of Nottinghamshire. Broxtowe District Council is a local council based in the town of Beeston and is one of six local councils in the county of Nottinghamshire.,49,27,0.44109,2.63771,1.163468,1.143351,-0.020117,-0.090293,MIXED,correct,alias_match,
13347,"""Who was """"Sports Illustrated"""" magazine's first """"Sportsman of the Year""""?""",Roger Bannister,"""Bob Cousy, the Boston Celtics guard.""",12,8,0.596064,4.13213,2.463015,2.499279,0.036263,0.129487,MIXED,hallucination,judge,Bob Cousy was not Sports Illustrated's first Sportsman of the Year; that honor belonged to Roger Bannister in 1954.
16109,"What, traditionally, would a Cordwainer make?",SHOES,Shoes and boots.,5,4,0.641305,3.105719,1.991712,2.071463,0.079752,0.776539,MIXED,correct,alias_match,
2279,Near which village in North Wales were the rowing events held at the 1958 British Empire and Commonwealth Games?,LLANBERIS,Llanfairfechan,6,5,0.715222,2.645925,1.892423,1.941743,0.04932,0.431144,MIXED,hallucination,judge,"The rowing events at the 1958 British Empire and Commonwealth Games were held near Llanberis, not Llanfairfechan, which are two different villages in North Wales."
16545,"In 1171 Henry II was the first English king to set foot in an Irish city. Founded by the Vikings in the ninth century, which is Ireland's oldest city?",WATERFORD,"The city of Waterford, founded in 914, is the oldest city in Ireland. Waterford is also the oldest city in the whole of Ireland and Britain, and the fifth oldest in Europe.",42,35,0.465167,3.028535,1.408775,1.399307,-0.009468,-0.054094,MIXED,correct,alias_match,
17185,What kind of flowers was the gunman holding when he shot Dirty Den in Eastenders,Daffodils,Tulips and lilies.,8,6,0.598532,3.588518,2.147844,2.676176,0.528332,0.903422,ALIGNED,hallucination,judge,"The model answered tulips and lilies, but the correct answer is daffodils (narcissus flowers), which are completely different flowers."
11747,Which rider won the ladies European Three Day event Championship at Burghley in 1971?,PRINCESS ANNE,Mary Gordon-Watson.,8,5,0.603676,4.751947,2.868635,3.111814,0.243179,0.535932,ALIGNED,hallucination,judge,Mary Gordon-Watson did not win the ladies European Three Day event Championship at Burghley in 1971; Princess Anne won this event.
7850,What was the name of the American President played by Martin Sheen in the TV series 'The West Wing'?,'JOSIAH BARTLET',Josiah “Jed” Bartlet.,10,4,0.580147,2.362285,1.370472,1.367798,-0.002675,-0.023188,MIXED,correct,judge,"The model answer matches the ground truth exactly, providing the character's full name with his common nickname in quotation marks."
4380,"""What is the """"proper name"""" for the main character in a series of novels by John Updike, who is nicknamed """"Rabbit""""?""",Harry Angstrom,Harry Angstrom,5,2,0.827819,3.497664,2.895431,2.846875,-0.048557,-1.0,MIXED,correct,alias_match,
9145,Which British organisation is known in the U.S.A. as TKC,The Kennel Club,The Keystone Cops,6,4,0.652901,4.182926,2.731035,2.957672,0.226637,0.667917,ALIGNED,hallucination,judge,"The Keystone Cops is a silent film comedy group unrelated to the British Kennel Club, which is the correct answer to the question about TKC in the USA."
9834,"What was the location of the worst nuclear disaster in the United States, when a partial core meltdown of reactor #2 resulted in the release of significant quantities of radioactive gas in 1979?",Three Mile Island,Three Mile Island.,5,2,0.539125,3.882915,2.093379,2.166222,0.072843,1.0,MIXED,correct,alias_match,
7118,What was invented by Jonas Hanway in the late 1750s?,Umbrella,The umbrella.,5,3,0.492212,2.833486,1.394676,1.52063,0.125954,0.965622,ALIGNED,correct,alias_match,
7601,How was BBC Radio 7 rebranded in April 2011?,(BBC) RADIO 4 EXTRA,To BBC Radio 4 Extra.,7,3,0.427642,2.705668,1.157057,1.196236,0.039179,0.385653,MIXED,correct,alias_match,
13350,"""""""M"""", """"Luscious Pink"""" and """"Forever"""" are women's fragrances from Elizabeth Arden, endorsed by whom?""",Mariah Carey,Elizabeth Hurley,5,2,0.874926,3.690604,3.229004,3.120228,-0.108776,-1.0,ANTI,hallucination,judge,"The fragrances 'M', 'Luscious Pink', and 'Forever' were endorsed by Mariah Carey, not Elizabeth Hurley."
