idx,name,source,text,n_tokens,n_valid,mean_delta,mean_sigma,A_marginal,A_joint,A_cov,pearson_rho,signature
10122,janet l. norwood,REF,"janet lippe norwood -lrb- december 11 , 1923 -- march 27 , 2015 -rrb- was an american statistician and the first female commissioner of the u.s. bureau of labor statistics -lrb- bls -rrb- when she was appointed in 1979 by president jimmy carter .
she was reappointed twice by president reagan .
she left the bureau in 1991 and joined the urban institute as a senior fellow , a position she held until 1999 .
she was also appointed as the chair of the advisory council on unemployment compensation , f",210,138,0.474433,3.293891,1.56273,1.714641,0.151911,0.405034,ALIGNED
10122,janet l. norwood,GEN,"Janet L. Norwood

Janet L. Norwood is the Chief Operating Officer of The Norwood Group. Norwood is a graduate of the University of California, Los Angeles, where she received a Bachelor of Arts in history and a Master of Business Administration in finance.

Norwood is the co-founder and Chair of the Board of Directors of the Norwood Institute. She is the co-founder of the Norwood Family Fund, a grant-making foundation that supports nonprofit organizations working in the areas of health, human se",200,138,0.479995,3.21676,1.544029,1.61879,0.07476,0.219513,MIXED
58674,m.c.d. borden,REF,"matthew chaloner durfee borden -lrb- july 18 , 1842 - may 27 , 1912 -rrb- -lrb- commonly referred to as m.c.d. borden -rrb- , was a textile leader from fall river , massachusetts who , in 1880 reorganized the failed american print works into the american printing company .
in the years that followed , his company would grow to become the largest cloth-printing company in the world , earning him the nickname `` the calico king '' .
his father was colonel richard borden , who founded the fall rive",149,115,0.475564,4.100207,1.949913,2.070999,0.121086,0.275001,ALIGNED
58674,m.c.d. borden,GEN,"Michael Borden is Director of the Eck Institute for Global Health at the University of Notre Dame. He is a physician, health services researcher, and public health professional with over 25 years of experience in the US and international health systems. At Notre Dame, he oversees the institute’s mission to promote health, and to reduce poverty and inequity by addressing the complex health challenges facing the world’s poor. In addition to his role at the EIGH, Dr. Borden is the C. Richard and Do",197,143,0.530273,3.442201,1.825308,1.902115,0.076808,0.228173,MIXED
43391,yaşar yakış,REF,"yaşar yakış -lrb- born 1938 , akçakoca , turkey -rrb- is a turkish politician .
he is a former foreign minister , and a former ambassador to the un office in vienna , egypt , and saudi arabia .
he is an mp , representing düzce in the grand national assembly of turkey .
he is a member of the justice and development party , the leading political party in turkey at the moment and he is the chair of the european union harmonization committee of the grand national assembly of turkey .
he received the",165,118,0.462236,3.826149,1.768583,1.924154,0.155571,0.345489,ALIGNED
43391,yaşar yakış,GEN,"Yaşar Yakış, (born January 17, 1940, Antalya, Turkey), Turkish novelist, short story writer, and essayist whose work was characterized by its biting social satire and its focus on the changing roles of women.

Yakış studied at the University of Ankara in Turkey and the Sorbonne in Paris. He became a journalist and worked as a copywriter for an advertising agency. In 1964 he published his first collection of short stories, Kara kemerler (Black Pants). His first novel, Sonbahar (Autumn), was publi",198,129,0.56087,3.678276,2.063035,2.08569,0.022655,0.060282,MIXED
45992,ray gordinier,REF,"raymond cornelius gordinier -lrb- april 11 , 1892 in rochester , new york -- november 15 , 1960 -rrb- was a pitcher in major league baseball .
he pitched in eight games for the brooklyn robins during the 1921-1922 baseball seasons .",83,59,0.495007,3.906447,1.933721,2.152164,0.218443,0.42429,ALIGNED
45992,ray gordinier,GEN,"Ray Gordonier

Ray Gordonier is a well-known scientist who has made significant contributions to the field of biology. He was born on May 15, 1951, in New York City and grew up in the Bronx.

Ray Gordonier attended Barnard College where he earned a Bachelor’s degree in Biology before going on to the University of California, Berkeley for his Ph.D. He then became a professor at the University of Chicago and worked there for over 20 years. During this time, he conducted groundbreaking research on ",200,110,0.518622,2.490228,1.291487,1.314303,0.022816,0.10129,MIXED
21281,tuanku syed faizuddin putra jamalullail,REF,"tuanku syed faizuddin putra ibni tuanku syed sirajuddin jamalullail -lrb- born -rrb- is the raja muda -lrb- crown prince -rrb- of the malaysian state of perlis .
he is the son of the current raja , tuanku syed sirajuddin .",83,49,0.587102,4.132392,2.426135,2.552385,0.12625,0.220072,ALIGNED
21281,tuanku syed faizuddin putra jamalullail,GEN,"Syed Faizuddin Putra Jamalullail (born 30 June 1935) is the 28th Sultan of Terengganu, Malaysia, since 2001. He is the second son of the 27th Sultan of Terengganu, Sultan Zainal Abidin IV.

Syed Faizuddin received his early education in Sekolah Rendah Kampong Dato, Dungun. He was later sent to a British boarding school, where he obtained his secondary education. He furthered his studies in Australia, at the University of Sydney and the University of Melbourne, graduating with a BSc (Hons) in 196",199,128,0.498437,3.009651,1.50012,1.557416,0.057296,0.198255,MIXED
